C programming Score
stuno     score     cname     
105       32     Database      
108       39     C Programming      
101       41     C Programming     Ordinary Degree(Pass)
107       42     Data Mining     Ordinary Degree(Pass)
103       43     Art     Ordinary Degree(Pass)
110       43     Math     Ordinary Degree(Pass)
101       48     English     Third Class Degree
107       48     Database     Third Class Degree
102       50     Math     Lower-second Class Degree
108       53     Database     Lower-second Class Degree
103       56     C Programming     Lower-second Class Degree
108       58     Math     Lower-second Class Degree
105       63     Math     Upper-second Class Degree
104       64     Math     Upper-second Class Degree
106       64     Math     Upper-second Class Degree
110       65     Database     Upper-second Class Degree
109       67     Art     Upper-second Class Degree
105       71     C Programming     First Honors Degree
106       78     Art     First Honors Degree
110       78     C Programming     First Honors Degree
106       82     Computer Architecture     First Honors Degree
110       83     Computer Architecture     First Honors Degree
107       86     Information Security     First Honors Degree
106       89     C Programming     First Honors Degree
111       89     Math     First Honors Degree
106       91     Physics     First Honors Degree
111       92     C Programming     First Honors Degree
111       96     English     First Honors Degree
108       98     Spatial Database     First Honors Degree
